frame,xAvatar,xCursor,yAvatar,yCursor
0,1079,1116,51,1020
5,1105,1098,252,317
6,1109,1126,311,316
7,1112,1102,342,385
8,1114,1105,370,405
9,1115,1107,384,424
10,1115,1118,404,408
11,1115,1115,424,425
12,1114,1114,426,434
13,1116,1115,429,440
14,1116,1115,428,445
15,1115,1114,430,449
16,1112,1113,433,455
17,1111,1111,437,460
18,1108,1108,438,464
19,1108,1108,438,464
20,1103,1105,441,460
21,1100,1100,452,472
22,1102,1101,452,470
23,1097,1104,457,469
24,1099,1105,459,476
25,1098,1106,460,479
26,1098,1108,461,478
27,1105,1111,461,479
28,1112,1114,454,479
29,1112,1119,457,482
30,1107,1122,464,487
31,1101,1127,464,488
32,1100,1127,463,487
33,1101,1126,463,487
34,1103,1123,463,487
35,1109,958,463,632
36,1116,956,457,627
37,1116,964,456,613
38,1118,965,454,611
39,1119,966,461,608
40,1115,964,461,605
41,1112,960,454,597
42,1112,958,449,594
43,1110,958,449,591
44,1109,958,449,591
45,1112,958,448,591
46,1134,962,443,596
47,1119,964,450,599
48,1130,966,453,602
49,1135,968,454,602
50,1137,970,453,602
51,1133,968,454,616
52,1135,968,456,617
53,1138,969,454,616
54,1137,968,452,615
55,1134,963,451,615
56,1127,957,450,612
57,1117,950,449,608
58,1115,943,440,607
59,1095,1209,450,592
60,1093,1202,443,591
61,1084,1194,442,587
62,1075,1190,442,585
63,1074,1185,434,580
64,1071,1181,433,575
65,1070,1179,430,573
66,1070,1177,431,570
67,1071,1177,432,566
68,1070,1176,427,563
69,1069,1211,425,543
70,1068,1207,426,546
71,1065,1202,428,547
72,1056,1197,428,548
73,1054,1194,428,548
74,1051,1176,433,413
75,1061,1178,437,414
76,1063,1182,432,409
77,1067,1186,426,405
78,1067,1189,426,403
79,1070,1192,424,397
80,1072,1194,426,395
81,1076,1200,425,392
82,1080,939,422,405
83,1090,948,416,400
84,1095,965,399,388
85,1118,972,391,388
86,1129,975,399,392
87,1133,976,400,396
88,1136,976,405,400
89,1125,975,391,395
90,1108,975,386,391
91,1126,976,386,388
92,1127,977,386,387
94,1110,1119,391,389
95,1119,1117,406,393
96,1096,1112,404,397
97,1096,1108,414,399
98,1114,1105,409,401
99,1098,1100,411,403
100,1097,1097,410,402
101,1096,1095,411,400
102,1088,1095,407,400
103,1077,1096,400,400
104,1076,1094,403,402
105,1076,1090,411,403
106,1079,1086,417,405
